"HS_ID","ID","PF","LOG10K"
13,"1W","2.466","-2.54"
13,"1W","2.484","-2.59"
13,"1W","2.501","-2.64"
13,"1W","2.517","-2.68"
13,"1W","2.534","-2.73"
13,"1W","2.55","-2.77"
13,"1W","2.565","-2.81"
13,"1W","2.581","-2.85"
13,"1W","2.597","-2.89"
13,"1W","2.612","-2.93"
13,"1W","2.627","-2.96"
13,"1W","2.642","-2.99"
13,"1W","2.658","-3.03"
13,"1W","2.674","-3.06"
13,"1W","2.69","-3.09"
13,"1W","2.706","-3.11"
13,"1W","2.721","-3.13"
13,"1W","1.935","-.79"
13,"32","1.864","-.5"
13,"32","3.619","-4.32"
13,"32","1.951","-.89"
13,"32","1.997","-1.08"
13,"32","2.042","-1.24"
