"HS_ID","ID","PF","LOG10K"
8,"28","2.435","-2.14"
8,"28","2.466","-2.19"
8,"28","2.495","-2.29"
8,"28","2.525","-2.4"
8,"28","2.553","-2.45"
8,"28","2.581","-2.54"
8,"28","2.609","-2.62"
8,"28","2.637","-2.72"
8,"28","2.665","-2.82"
8,"28","2.692","-2.92"
8,"28","2.717","-3"
8,"28","2.74","-3.07"
8,"28","2.762","-3.12"
8,"28","2.783","-3.18"
8,"28","2.801","-3.18"
8,"28","2.819","-3.33"
8,"28","2.839","-3.3"
8,"28","2.86","-3.26"
8,"28","2.881","-3.32"
8,"28","2.905","-3.32"
8,"28","2.93","-3.48"
8,"28","2.956","-3.53"
8,"28","2.98","-3.6"
8,"28","3.003","-3.71"
8,"28","3.025","-3.72"
8,"28","3.047","-3.78"
8,"28","2.001","-.8"
8,"5","2.556","-2.55"
8,"5","2.589","-2.63"
8,"5","2.624","-2.71"
8,"5","2.658","-2.79"
8,"5","2.692","-2.87"
8,"5","2.725","-2.94"
8,"5","2.755","-3"
8,"5","2.782","-3.04"
8,"5","2.806","-3.06"
8,"5","2.83","-3.09"
8,"5","3.614","-4.71"
8,"5","1.959","-1.13"
8,"5","1.999","-1.26"
8,"5","2.041","-1.38"
8,"5","2.085","-1.5"
8,"5","2.132","-1.61"
8,"5","2.178","-1.71"
8,"5","2.224","-1.8"
8,"5","2.268","-1.89"
8,"5","2.309","-1.98"
8,"5","2.349","-2.07"
8,"5","2.388","-2.16"
8,"5","2.425","-2.26"
8,"5","2.46","-2.33"
8,"5","2.493","-2.4"
8,"5","2.524","-2.47"
8,"96","1.851","-.17"
8,"96","3.644","-4.46"
8,"96","1.952","-.55"
8,"96","2.013","-.72"
8,"96","2.074","-.9"
8,"96","2.133","-1.07"
8,"96","2.187","-1.2"
8,"96","2.235","-1.28"
8,"96","2.277","-1.36"
8,"96","2.313","-1.48"
8,"96","2.344","-1.66"
8,"96","2.371","-1.79"
8,"96","2.396","-1.86"
8,"96","2.419","-1.94"
8,"96","2.442","-2.01"
8,"96","2.466","-2.08"
8,"96","2.488","-2.15"
8,"96","2.507","-2.21"
8,"96","2.524","-2.27"
8,"96","2.541","-2.32"
8,"96","2.557","-2.38"
8,"96","2.572","-2.42"
8,"96","2.587","-2.47"
8,"96","2.602","-2.5"
8,"96","2.617","-2.53"
8,"96","2.63","-2.56"
8,"96","2.643","-2.58"
8,"96","2.655","-2.61"
8,"96","2.664","-2.65"
8,"96","2.674","-2.69"
8,"96","2.686","-2.73"
8,"96","2.699","-2.77"
8,"96","2.712","-2.82"
8,"96","2.726","-2.86"
8,"96","2.74","-2.91"
8,"96","2.755","-2.95"
8,"96","2.771","-3"
8,"96","2.79","-3.05"
8,"96","2.81","-3.1"
8,"96","2.828","-3.14"
8,"96","2.844","-3.18"
8,"96","2.858","-3.21"
8,"96","2.871","-3.24"
8,"96","2.885","-3.26"
8,"96","2.899","-3.28"
8,"96","2.911","-3.29"
8,"96","2.923","-3.3"
8,"96","2.932","-3.3"
8,"96","1.898","-.37"
9,"25","2.553","-2.75"
9,"25","2.58","-2.82"
9,"25","2.604","-2.88"
9,"25","2.627","-2.94"
9,"25","2.649","-3"
9,"25","2.669","-3.04"
9,"25","2.686","-3.09"
9,"25","2.706","-3.17"
9,"25","2.726","-3.23"
9,"25","2.746","-3.26"
9,"25","2.769","-3.32"
9,"25","2.795","-3.4"
9,"25","2.823","-3.47"
9,"25","2.849","-3.52"
9,"25","2.873","-3.57"
9,"25","2.898","-3.62"
9,"25","2.92","-3.65"
9,"25","2.942","-3.67"
9,"25","3.536","-4.49"
9,"25","1.96","-.67"
9,"25","1.998","-.84"
9,"25","2.036","-1"
9,"25","2.074","-1.16"
9,"25","2.111","-1.3"
9,"25","2.147","-1.43"
9,"25","2.18","-1.55"
9,"25","2.212","-1.65"
9,"25","2.241","-1.74"
9,"25","2.268","-1.82"
9,"25","2.294","-1.89"
9,"25","2.318","-1.96"
9,"25","2.341","-2.03"
9,"25","2.362","-2.09"
9,"25","2.381","-2.15"
9,"25","2.4","-2.22"
9,"25","2.42","-2.28"
9,"25","2.439","-2.37"
9,"25","2.459","-2.47"
9,"25","2.479","-2.55"
9,"25","2.501","-2.62"
9,"25","2.526","-2.68"
9,"28","1.863","-.39"
9,"28","3.402","-4.18"
9,"28","1.943","-.78"
9,"28","1.984","-.92"
9,"28","2.024","-1.06"
9,"28","2.06","-1.2"
9,"28","2.092","-1.35"
9,"28","2.121","-1.5"
9,"28","2.147","-1.64"
9,"28","2.173","-1.76"
9,"28","2.199","-1.84"
9,"28","2.222","-1.92"
9,"28","2.244","-1.99"
9,"28","2.266","-2.06"
9,"28","2.286","-2.13"
9,"28","2.306","-2.19"
9,"28","2.326","-2.24"
9,"28","2.346","-2.29"
9,"28","2.364","-2.34"
9,"28","2.382","-2.38"
9,"28","2.4","-2.42"
9,"28","2.418","-2.48"
9,"28","2.436","-2.54"
9,"28","2.453","-2.59"
9,"28","2.471","-2.64"
9,"28","2.491","-2.69"
9,"28","2.512","-2.73"
9,"28","2.531","-2.78"
9,"28","2.551","-2.82"
9,"28","2.57","-2.86"
9,"28","2.589","-2.9"
9,"28","2.609","-2.94"
9,"28","2.626","-2.97"
9,"28","2.644","-3.01"
9,"28","2.663","-3.05"
9,"28","2.682","-3.08"
9,"28","2.699","-3.3"
9,"28","2.716","-3.36"
9,"28","2.731","-3.4"
9,"28","1.903","-.59"
9,"5","1.932","-.46"
9,"5","1.988","-.82"
9,"5","2.038","-1.1"
9,"5","2.079","-1.24"
9,"5","2.113","-1.35"
9,"5","2.145","-1.44"
9,"5","2.175","-1.54"
9,"5","2.203","-1.62"
9,"5","2.227","-1.7"
9,"5","2.249","-1.78"
9,"5","2.27","-1.85"
9,"5","2.289","-1.92"
9,"5","2.307","-1.99"
9,"5","2.325","-2.05"
9,"5","2.342","-2.11"
9,"5","2.359","-2.16"
9,"5","2.374","-2.2"
9,"5","2.388","-2.26"
9,"5","2.4","-2.32"
9,"5","2.411","-2.38"
9,"5","2.425","-2.44"
9,"5","2.439","-2.5"
9,"5","2.454","-2.56"
9,"5","2.47","-2.62"
9,"5","2.487","-2.67"
9,"5","2.504","-2.72"
9,"5","2.523","-2.78"
9,"5","2.545","-2.85"
