Num.,Date and Time,Temp. (°C),Rel. Humidity (%)
4321,2018-04-18 00:00:21,18.53,52.37
4322,2018-04-18 00:05:19,18.49,52.44
4323,2018-04-18 00:10:19,17.97,55.13
4324,2018-04-18 00:15:19,17.58,56.38
4325,2018-04-18 00:20:18,17.48,53.81
4326,2018-04-18 00:25:17,17.99,52.98
4327,2018-04-18 00:30:17,18.22,52.65
4328,2018-04-18 00:35:16,18.34,52.36
4329,2018-04-18 00:40:16,18.32,52.58
4330,2018-04-18 00:45:19,17.77,55.64
4331,2018-04-18 00:50:21,17.58,54.71
4332,2018-04-18 00:55:20,17.89,52.09
4333,2018-04-18 01:00:20,18.46,51.3
4334,2018-04-18 01:05:20,18.28,52.96
4335,2018-04-18 01:10:20,17.84,55.2
4336,2018-04-18 01:15:19,17.66,52.93
4337,2018-04-18 01:20:18,18.08,51.67
4338,2018-04-18 01:25:18,18.18,52.45
4339,2018-04-18 01:30:17,17.76,54.92
4340,2018-04-18 01:35:17,17.64,53.24
4341,2018-04-18 01:40:16,18.02,51.46
4342,2018-04-18 01:45:16,18.53,50.83
4343,2018-04-18 01:50:15,18.45,51.77
4344,2018-04-18 01:55:15,17.77,55.31
4345,2018-04-18 02:00:15,17.46,53.97
4346,2018-04-18 02:05:14,17.77,51.36
4347,2018-04-18 02:10:14,18.42,50.27
4348,2018-04-18 02:15:14,18.72,49.79
4349,2018-04-18 02:20:13,18.73,50.18
4350,2018-04-18 02:25:13,17.91,54.38
4351,2018-04-18 02:30:12,17.31,55.46
4352,2018-04-18 02:35:12,17.15,52.95
4353,2018-04-18 02:40:12,17.74,51.95
4354,2018-04-18 02:45:11,17.98,51.4
4355,2018-04-18 02:50:11,18.16,50.97
4356,2018-04-18 02:55:11,18.31,50.55
4357,2018-04-18 03:00:10,18.37,50.54
4358,2018-04-18 03:05:09,18.33,50.89
4359,2018-04-18 03:10:09,18.23,51.16
4360,2018-04-18 03:15:08,18.16,51.23
4361,2018-04-18 03:20:08,18.14,51.19
4362,2018-04-18 03:25:08,18.13,51.21
4363,2018-04-18 03:30:07,17.99,51.74
4364,2018-04-18 03:35:07,17.36,54.87
4365,2018-04-18 03:40:07,17.11,54.1
4366,2018-04-18 03:45:08,17.3,51.76
4367,2018-04-18 03:50:14,17.89,50.74
4368,2018-04-18 03:55:14,18.19,50.19
4369,2018-04-18 04:00:14,18.37,49.79
4370,2018-04-18 04:05:14,18.48,49.45
4371,2018-04-18 04:10:13,18.54,49.4
4372,2018-04-18 04:15:12,18.52,49.53
4373,2018-04-18 04:20:12,18.44,49.8
4374,2018-04-18 04:25:12,18.35,49.96
4375,2018-04-18 04:30:11,18.21,50.4
4376,2018-04-18 04:35:10,17.39,54.55
4377,2018-04-18 04:40:10,16.93,55.16
4378,2018-04-18 04:45:09,16.97,51.65
4379,2018-04-18 04:50:09,17.77,50.21
4380,2018-04-18 04:55:08,18.2,49.37
4381,2018-04-18 05:00:08,18.38,49.19
4382,2018-04-18 05:05:08,18.44,49.24
4383,2018-04-18 05:10:07,18.45,49.1
4384,2018-04-18 05:15:07,18.44,49.21
4385,2018-04-18 05:20:07,17.92,51.75
4386,2018-04-18 05:25:07,17.71,51.76
4387,2018-04-18 05:30:07,17.78,49.63
4388,2018-04-18 05:35:06,18.34,48.77
4389,2018-04-18 05:40:06,18.62,48.34
4390,2018-04-18 05:45:06,18.09,51.8
4391,2018-04-18 05:50:05,17.42,55.09
4392,2018-04-18 05:55:04,17.2,51.47
4393,2018-04-18 06:00:04,18.0,49.34
4394,2018-04-18 06:05:04,18.64,48.56
4395,2018-04-18 06:10:03,18.88,48.49
4396,2018-04-18 06:15:03,18.65,50.63
4397,2018-04-18 06:20:03,17.94,55.23
4398,2018-04-18 06:25:02,17.64,54.04
4399,2018-04-18 06:30:02,17.91,52.15
4400,2018-04-18 06:35:02,17.98,54.88
4401,2018-04-18 06:40:01,18.11,53.64
4402,2018-04-18 06:45:01,18.46,50.69
4403,2018-04-18 06:50:07,18.8,52.83
4404,2018-04-18 06:55:07,18.67,53.19
4405,2018-04-18 07:00:07,18.74,52.13
4406,2018-04-18 07:05:07,19.04,51.7
4407,2018-04-18 07:10:06,19.17,51.71
4408,2018-04-18 07:15:06,19.19,52.03
4409,2018-04-18 07:20:06,19.15,52.25
4410,2018-04-18 07:25:06,19.14,52.13
4411,2018-04-18 07:30:05,19.11,51.91
4412,2018-04-18 07:35:05,19.12,51.36
4413,2018-04-18 07:40:05,19.19,50.22
4414,2018-04-18 07:45:04,19.26,49.79
4415,2018-04-18 07:50:04,19.28,49.65
4416,2018-04-18 07:55:04,19.34,49.16
4417,2018-04-18 08:00:04,19.51,48.43
4418,2018-04-18 08:05:03,19.76,47.66
4419,2018-04-18 08:10:03,20.06,46.71
4420,2018-04-18 08:15:03,20.36,45.81
4421,2018-04-18 08:20:03,20.77,44.49
4422,2018-04-18 08:25:03,21.06,43.61
4423,2018-04-18 08:30:03,21.17,43.64
4424,2018-04-18 08:35:03,21.07,43.88
4425,2018-04-18 08:40:03,21.09,43.63
4426,2018-04-18 08:45:03,21.21,43.23
4427,2018-04-18 08:50:03,21.3,42.97
4428,2018-04-18 08:55:02,21.47,42.18
4429,2018-04-18 09:00:02,22.28,39.33
4430,2018-04-18 09:05:02,23.75,35.25
4431,2018-04-18 09:10:02,25.5,32.42
4432,2018-04-18 09:15:01,26.89,30.75
4433,2018-04-18 09:20:01,27.92,29.54
4434,2018-04-18 09:25:01,28.77,28.54
4435,2018-04-18 09:30:00,29.48,27.79
4436,2018-04-18 09:35:00,30.13,27.15
4437,2018-04-18 09:40:32,30.46,26.95
4438,2018-04-18 09:45:32,29.36,30.03
4439,2018-04-18 09:50:00,27.52,33.82
4440,2018-04-18 09:55:00,25.76,35.26
4441,2018-04-18 10:00:00,24.14,35.82
4442,2018-04-18 10:05:00,24.17,35.32
4443,2018-04-18 10:10:00,24.3,34.79
4444,2018-04-18 10:15:00,25.43,35.12
4445,2018-04-18 10:20:00,25.34,35.06
4446,2018-04-18 10:25:00,25.32,35.14
4447,2018-04-18 10:30:32,25.42,34.77
4448,2018-04-18 10:35:32,25.65,34.7
4449,2018-04-18 10:40:32,25.91,34.57
4450,2018-04-18 10:45:31,26.0,34.58
4451,2018-04-18 10:50:42,26.03,34.58
4452,2018-04-18 10:55:29,26.03,34.58
4453,2018-04-18 11:00:24,26.1,34.25
4454,2018-04-18 11:05:18,26.24,33.86
4455,2018-04-18 11:10:13,26.46,33.61
4456,2018-04-18 11:15:08,26.75,32.8
4457,2018-04-18 11:20:04,26.92,32.33
4458,2018-04-18 11:25:32,26.92,32.2
4459,2018-04-18 11:30:27,26.94,31.98
4460,2018-04-18 11:35:23,27.06,31.4
4461,2018-04-18 11:40:18,27.22,30.89
4462,2018-04-18 11:45:13,27.28,30.54
4463,2018-04-18 11:50:08,27.48,30.12
4464,2018-04-18 11:55:04,27.5,29.54
4465,2018-04-18 12:00:32,27.43,29.74
4466,2018-04-18 12:05:28,27.1,30.2
4467,2018-04-18 12:10:24,26.71,30.92
4468,2018-04-18 12:15:20,26.3,31.5
4469,2018-04-18 12:20:16,26.3,31.02
4470,2018-04-18 12:25:13,26.7,29.99
4471,2018-04-18 12:30:09,27.01,30.05
4472,2018-04-18 12:35:06,27.12,30.4
4473,2018-04-18 12:40:03,27.04,30.17
4474,2018-04-18 12:45:01,27.17,29.88
4475,2018-04-18 12:50:31,27.39,29.42
4476,2018-04-18 12:55:29,27.43,29.6
4477,2018-04-18 13:00:26,27.23,29.98
4478,2018-04-18 13:05:24,27.07,29.73
4479,2018-04-18 13:10:22,27.14,29.32
4480,2018-04-18 13:15:20,27.22,29.43
4481,2018-04-18 13:20:18,27.18,29.57
4482,2018-04-18 13:25:16,27.21,29.35
4483,2018-04-18 13:30:14,27.33,28.96
4484,2018-04-18 13:35:12,27.34,29.07
4485,2018-04-18 13:40:10,27.18,29.49
4486,2018-04-18 13:45:08,26.93,29.57
4487,2018-04-18 13:50:06,26.87,29.75
4488,2018-04-18 13:55:04,27.09,29.27
4489,2018-04-18 14:00:02,27.29,29.49
4490,2018-04-18 14:05:00,27.36,29.82
4491,2018-04-18 14:10:31,27.28,29.75
4492,2018-04-18 14:15:29,27.19,29.73
4493,2018-04-18 14:20:27,27.14,29.96
4494,2018-04-18 14:25:25,27.08,29.9
4495,2018-04-18 14:30:23,27.23,29.4
4496,2018-04-18 14:35:21,27.35,28.77
4497,2018-04-18 14:40:19,27.39,28.57
4498,2018-04-18 14:45:17,27.27,28.15
4499,2018-04-18 14:50:15,27.31,27.72
4500,2018-04-18 14:55:13,27.29,27.62
4501,2018-04-18 15:00:12,27.15,27.87
4502,2018-04-18 15:05:10,27.13,27.98
4503,2018-04-18 15:10:08,27.26,27.72
4504,2018-04-18 15:15:05,27.5,27.19
4505,2018-04-18 15:20:04,27.6,26.85
4506,2018-04-18 15:25:01,27.53,26.78
4507,2018-04-18 15:30:32,27.27,26.59
4508,2018-04-18 15:35:29,27.0,26.97
4509,2018-04-18 15:40:27,26.84,27.77
4510,2018-04-18 15:45:24,26.74,27.8
4511,2018-04-18 15:50:25,26.7,27.88
4512,2018-04-18 15:55:29,26.64,28.08
4513,2018-04-18 16:00:27,26.59,28.54
4514,2018-04-18 16:05:24,26.43,29.38
4515,2018-04-18 16:10:22,26.29,29.77
4516,2018-04-18 16:15:19,26.3,29.57
4517,2018-04-18 16:20:16,26.36,29.08
4518,2018-04-18 16:25:14,26.32,28.75
4519,2018-04-18 16:30:12,26.2,28.77
4520,2018-04-18 16:35:09,26.1,29.27
4521,2018-04-18 16:40:07,25.95,30.14
4522,2018-04-18 16:45:04,25.73,30.29
4523,2018-04-18 16:50:02,25.59,30.4
4524,2018-04-18 16:55:32,25.56,30.09
4525,2018-04-18 17:00:29,25.46,30.0
4526,2018-04-18 17:05:27,25.26,30.61
4527,2018-04-18 17:10:24,25.04,31.16
4528,2018-04-18 17:15:22,24.92,31.67
4529,2018-04-18 17:20:20,24.81,32.5
4530,2018-04-18 17:25:17,24.65,33.07
4531,2018-04-18 17:30:15,24.47,33.53
4532,2018-04-18 17:35:12,24.32,33.9
4533,2018-04-18 17:40:10,24.11,34.39
4534,2018-04-18 17:45:11,23.91,35.27
4535,2018-04-18 17:50:08,23.68,35.83
4536,2018-04-18 17:55:06,23.48,36.04
4537,2018-04-18 18:00:05,23.28,36.42
4538,2018-04-18 18:05:04,23.08,37.23
4539,2018-04-18 18:10:01,22.88,37.91
4540,2018-04-18 18:15:32,22.66,38.54
4541,2018-04-18 18:20:29,22.41,39.33
4542,2018-04-18 18:25:27,22.13,40.11
4543,2018-04-18 18:30:24,21.85,40.78
4544,2018-04-18 18:35:21,21.57,41.47
4545,2018-04-18 18:40:19,21.27,42.37
4546,2018-04-18 18:45:17,20.98,43.35
4547,2018-04-18 18:50:14,20.75,44.43
4548,2018-04-18 18:55:17,20.55,45.58
4549,2018-04-18 19:00:16,20.33,46.62
4550,2018-04-18 19:05:15,20.08,47.4
4551,2018-04-18 19:10:13,19.81,48.29
4552,2018-04-18 19:15:12,19.48,49.31
4553,2018-04-18 19:20:11,19.1,50.5
4554,2018-04-18 19:25:09,18.74,51.96
4555,2018-04-18 19:30:08,18.55,53.31
4556,2018-04-18 19:35:07,18.46,54.65
4557,2018-04-18 19:40:06,18.39,56.02
4558,2018-04-18 19:45:04,18.34,57.35
4559,2018-04-18 19:50:02,18.3,58.7
4560,2018-04-18 19:55:01,18.27,60.05
4561,2018-04-18 20:00:32,18.21,61.37
4562,2018-04-18 20:05:29,18.16,62.55
4563,2018-04-18 20:10:27,18.1,63.55
4564,2018-04-18 20:15:25,18.05,64.51
4565,2018-04-18 20:20:23,18.0,65.4
4566,2018-04-18 20:25:21,17.94,66.42
4567,2018-04-18 20:30:20,17.88,67.36
4568,2018-04-18 20:35:19,17.8,68.27
4569,2018-04-18 20:40:17,17.73,69.11
4570,2018-04-18 20:45:15,17.65,69.98
4571,2018-04-18 20:50:13,17.58,70.88
4572,2018-04-18 20:55:11,17.5,71.67
4573,2018-04-18 21:00:09,17.41,72.42
4574,2018-04-18 21:05:07,17.32,73.23
4575,2018-04-18 21:10:05,17.24,73.83
4576,2018-04-18 21:15:03,17.17,74.41
4577,2018-04-18 21:20:01,17.12,75.07
4578,2018-04-18 21:25:00,17.04,75.59
4579,2018-04-18 21:30:31,16.98,76.12
4580,2018-04-18 21:35:29,16.91,76.64
4581,2018-04-18 21:40:27,16.83,77.2
4582,2018-04-18 21:45:26,16.75,77.66
4583,2018-04-18 21:50:24,16.67,78.11
4584,2018-04-18 21:55:01,16.61,78.48
4585,2018-04-18 22:00:03,16.55,78.77
4586,2018-04-18 22:05:01,16.5,79.09
4587,2018-04-18 22:10:32,16.43,79.41
4588,2018-04-18 22:15:30,16.36,79.75
4589,2018-04-18 22:20:28,16.3,80.01
4590,2018-04-18 22:25:26,16.24,80.29
4591,2018-04-18 22:30:24,16.19,80.52
4592,2018-04-18 22:35:22,16.14,80.66
4593,2018-04-18 22:40:20,16.08,80.87
4594,2018-04-18 22:45:18,16.03,81.08
4595,2018-04-18 22:50:17,15.95,81.3
4596,2018-04-18 22:55:15,15.88,81.53
4597,2018-04-18 23:00:13,15.82,81.69
4598,2018-04-18 23:05:11,15.77,81.81
4599,2018-04-18 23:10:09,15.72,81.93
4600,2018-04-18 23:15:07,15.67,81.99
4601,2018-04-18 23:20:05,15.61,82.11
4602,2018-04-18 23:25:03,15.56,82.21
4603,2018-04-18 23:30:01,15.51,82.3
4604,2018-04-18 23:35:32,15.45,82.42
4605,2018-04-18 23:40:30,15.4,82.51
4606,2018-04-18 23:45:27,15.34,82.6
4607,2018-04-18 23:50:25,15.29,82.7
4608,2018-04-18 23:55:22,15.29,82.7
