,Timestamp,Temperature
0,2018-04-18,21.35371527777778
0,2018-04-19,21.316584507042254
0,2018-04-20,22.22190812720848
0,2018-04-21,19.976770833333333
0,2018-04-22,20.016562500000003
0,2018-04-23,19.78031690140845
0,2018-04-24,16.896105263157896
0,2018-04-25,16.758885017421605
0,2018-04-26,15.101529411764705
0,2018-04-27,19.85299107142857
0,2018-04-28,20.31756944444444
0,2018-04-29,22.89003472222222
0,2018-04-30,20.92125
0,2018-05-01,18.4884375
0,2018-05-02,17.84298611111111
0,2018-05-03,19.605069444444446
0,2018-05-04,19.3825
0,2018-05-05,19.961493055555554
0,2018-05-06,21.501979166666665
0,2018-05-07,21.15920138888889
0,2018-05-08,21.870625
0,2018-05-09,22.74857638888889
0,2018-05-10,22.498229166666665
0,2018-05-11,18.51621527777778
0,2018-05-12,19.9565625
0,2018-05-13,23.257951388888888
0,2018-05-14,23.135173611111114
0,2018-05-15,20.540243055555557
0,2018-05-16,21.581493055555555
0,2018-05-17,20.777569444444442
0,2018-05-18,18.861284722222223
0,2018-05-19,22.091284722222223
0,2018-05-20,22.293472222222224
0,2018-05-21,21.85517361111111
0,2018-05-22,22.90121527777778
0,2018-05-23,23.980277777777776
